barcode,name,location
840276059865.0,2500-6-Heather Grey-L,A15-301
840276059872.0,2500-6-Heather Grey-XL,A15-302
840276059896.0,2500-6-Surf-S,A15-303
840276059902.0,2500-6-Surf-M,A15-304
840276059919.0,2500-6-Surf-L,A15-305
840276059926.0,2500-6-Surf-XL,A15-400
840276059933.0,2500-6-Surf-2X-3X,A15-401
840276059940.0,2500-8-Apricot-S,A15-402
840276059957.0,2500-8-Apricot-M,A15-403
840276059964.0,2500-8-Apricot-L,A15-404
840276059971.0,2500-8-Apricot-XL,A15-405
840276065972.0,5200-2-Fig-S,A15-500
840276066023.0,5200-2-Grey-XS,A15-501
840276066122.0,5200-2-Midnight-XL,A15-502
840276062919.0,6800-0-Midnight-XS,A15-503
840276071119.0,7600-70-Grey-2X-3X,A15-504
840276067549.0,7900-3-Almond-2X-3X,A15-505
840276059988.0,2500-8-Apricot-2X-3X,A16-100
840276059995.0,2500-8-Black-S,A16-101
840276060007.0,2500-8-Black-M,A16-102
840276060021.0,2500-8-Black-XL,A16-103
840276060045.0,2500-8-Heather Grey-S,A16-104
840276060052.0,2500-8-Heather Grey-M,A16-105
840276060069.0,2500-8-Heather Grey-L,A16-200
840276060076.0,2500-8-Heather Grey-XL,A16-201
840276060083.0,2500-8-Heather Grey-2X-3X,A16-202
840276060090.0,2500-8-Surf-S,A16-203
840276060106.0,2500-8-Surf-M,A16-204
840276060113.0,2500-8-Surf-L,A16-205
840276060120.0,2500-8-Surf-XL,A16-300
840276060397.0,2900-0-Apricot-S,A16-301
840276060403.0,2900-0-Apricot-M,A16-302
840276060410.0,2900-0-Apricot-L,A16-303
840276060427.0,2900-0-Apricot-XL,A16-304
840276060434.0,2900-0-Apricot-2X-3X,A16-305
840276060496.0,2900-0-Cloud-S,A16-400
840276060502.0,2900-0-Cloud-M,A16-401
840276060519.0,2900-0-Cloud-L,A16-402
840276060526.0,2900-0-Cloud-XL,A16-403
840276060533.0,2900-0-Cloud-2X-3X,A16-404
